Timestamp,What is your age?,Which nation or region of the UK do you live in?,"The first part of your postcode only, for example SW1A (optional)","Are you currently involved with a youth council, youth group or youth organisation?",What are the top three things you want the government to bring back for young people?,Is there anything else you would bring back that is not on that list?,What is the biggest problem facing young people across the UK today?,"In your own words, why did you choose that for the UK?",What is the biggest problem facing young people across the Commonwealth today?,"In your own words, why did you choose that for the Commonwealth?","Thinking about young people you know, how well is each of these working for young people right now? [Mental health and wellbeing]","Thinking about young people you know, how well is each of these working for young people right now? [Youth services and safe places to go]","Thinking about young people you know, how well is each of these working for young people right now? [Education and curriculum for life]","Thinking about young people you know, how well is each of these working for young people right now? [Jobs, apprenticeships and work experience]","Thinking about young people you know, how well is each of these working for young people right now? [Cost of living and financial security]","Thinking about young people you know, how well is each of these working for young people right now? [Transport and getting around]","Thinking about young people you know, how well is each of these working for young people right now? [Housing and a place to live]","Thinking about young people you know, how well is each of these working for young people right now? [Crime, safety and policing]","Thinking about young people you know, how well is each of these working for young people right now? [Equality, discrimination and racism]","Thinking about young people you know, how well is each of these working for young people right now? [Climate and the environment]","Thinking about young people you know, how well is each of these working for young people right now? [Democracy and youth voice]","Thinking about young people you know, how well is each of these working for young people right now? [Digital life and online safety]",How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Mental health and wellbeing],How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Youth services and safe places to go],How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Education and curriculum for life],"How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Jobs, apprenticeships and work experience]",How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Cost of living and financial security],How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Transport and getting around],How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Housing and a place to live],"How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Crime, safety and policing]","How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Equality, discrimination and racism]",How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Climate and the environment],How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Democracy and youth voice],How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Digital life and online safety],How urgent is each of these for young people over the next twelve months? [Mental health and wellbeing],How urgent is each of these for young people over the next twelve months? [Youth services and safe places to go],How urgent is each of these for young people over the next twelve months? [Education and curriculum for life],"How urgent is each of these for young people over the next twelve months? [Jobs, apprenticeships and work experience]",How urgent is each of these for young people over the next twelve months? [Cost of living and financial security],How urgent is each of these for young people over the next twelve months? [Transport and getting around],How urgent is each of these for young people over the next twelve months? [Housing and a place to live],"How urgent is each of these for young people over the next twelve months? [Crime, safety and policing]","How urgent is each of these for young people over the next twelve months? [Equality, discrimination and racism]",How urgent is each of these for young people over the next twelve months? [Climate and the environment],How urgent is each of these for young people over the next twelve months? [Democracy and youth voice],How urgent is each of these for young people over the next twelve months? [Digital life and online safety],Which of these should the UK push hardest on across the Commonwealth?,"If you could say one thing directly to the Heads of Government, what would it be?",Which of these best describes your gender?,Which of these best describes your ethnic background?,Do you have a disability or a long-term health condition?,Which best describes what you are doing at the moment?,"Have you ever been in care, or are you care experienced?",I have read the privacy notice and I am happy for my answers to be used in this consultation
18/09/2026 19:32:32,13 to 15,South West England,GL1,No,"Local libraries and community spaces with longer opening hours, Independent careers advice in every school (a Connexions style service)","Youth centres open at weekends, not just weekdays.","Crime, safety and policing",,"Jobs, apprenticeships and work experience",Young people are excluded from decisions in almost every member state.,2,2,5,3,6,6,1,4,6,4,5,7,10,5,9,8,10,9,7,7,7,8,10,6,8,5,8,8,8,10,7,6,5,2,6,5,"Jobs, apprenticeships and work experience, Climate and the environment",,Male,White,Yes,In school or college,No,Yes
18/09/2026 11:10:17,13 to 15,London,,Yes,"Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, A school nurse and a trained counsellor in every school, Local libraries and community spaces with longer opening hours",Free school transport past the age of 16.,Cost of living and financial security,Rent takes most of my wages and I still live with my parents.,"Jobs, apprenticeships and work experience",,7,5,7,7,6,4,3,4,9,5,4,5,10,9,9,8,10,5,9,5,10,9,7,4,8,8,7,6,8,4,7,6,6,5,5,8,"Jobs, apprenticeships and work experience, Mental health and wellbeing",,Female,"Black, Black British, Caribbean or African",Yes,At university,No,Yes
17/09/2026 11:57:38,16 to 18,London,SM1,No,"Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, Restored further education and adult skills funding, and lower tuition fees, Funded open-access youth clubs and youth workers in every area",,Mental health and wellbeing,"Waiting lists where I live are over a year, and people get worse while they wait.",Mental health and wellbeing,Young people are excluded from decisions in almost every member state.,2,1,6,5,4,2,2,4,6,6,7,5,10,7,10,9,10,8,9,7,8,7,9,9,9,7,6,10,8,6,10,6,6,6,10,8,"Mental health and wellbeing, Education and curriculum for life",,Female,White,No,At university,No,Yes
16/09/2026 18:52:05,22 to 25,East of England,PE1,Yes,"Local libraries and community spaces with longer opening hours, Funded open-access youth clubs and youth workers in every area, Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study",Free swimming for under-18s.,Housing and a place to live,,Housing and a place to live,Corruption means money meant for young people does not reach us.,3,3,5,4,5,2,1,2,7,8,6,3,10,6,6,7,10,6,8,7,10,6,6,9,10,4,10,7,7,9,5,8,5,9,4,5,"Education and curriculum for life, Equality, discrimination and racism",,Female,White,No,Working,No,Yes
16/09/2026 11:52:26,16 to 18,East Midlands,NG7,No,"Local libraries and community spaces with longer opening hours, Restored further education and adult skills funding, and lower tuition fees",,Digital life and online safety,,"Jobs, apprenticeships and work experience",Corruption means money meant for young people does not reach us.,2,5,3,6,0,6,1,2,3,1,4,6,10,10,9,8,10,7,10,10,10,5,8,6,7,7,2,5,9,9,10,10,5,7,5,6,"Education and curriculum for life, Climate and the environment",,Female,Prefer not to say,No,Working,No,Yes
17/09/2026 11:11:33,16 to 18,South East England,,Yes,"Local libraries and community spaces with longer opening hours, Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, Funded national youth voice structures (a British Youth Council style body)",Free swimming for under-18s.,Cost of living and financial security,,Cost of living and financial security,,,1,,,,,,,5,,2,,,,9,10,5,9,8,,9,,,10,,9,,7,10,,3,,10,4,,,"Jobs, apprenticeships and work experience, Crime, safety and policing",,Male,White,No,At university,No,Yes
16/09/2026 19:09:19,16 to 18,North West England,,Yes,"Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, Free or capped bus travel for under-25s, Local libraries and community spaces with longer opening hours",Cheaper driving lessons and tests for young people in rural areas.,Mental health and wellbeing,,"Jobs, apprenticeships and work experience",,4,0,4,5,1,3,6,8,5,4,5,4,9,9,8,10,10,6,10,8,6,7,10,10,8,8,5,9,9,4,10,4,8,7,7,7,Cost of living and financial security,,Male,White,No,Apprenticeship or training,No,Yes
17/09/2026 20:44:48,Over 25,South East England,SO14,No,"Arts, music and drama in the curriculum, and free or low-cost music tuition, Sure Start style family and early years centres, Guaranteed work experience placements for every pupil",,"Jobs, apprenticeships and work experience",,Education and curriculum for life,,2,4,6,5,1,1,4,3,7,6,6,5,10,10,5,10,6,5,8,7,7,10,10,8,8,2,5,9,10,5,7,10,5,3,3,10,"Crime, safety and policing, Youth services and safe places to go",,Male,White,No,In school or college,No,Yes
18/09/2026 19:25:52,16 to 18,Yorkshire and the Humber,S10,Yes,"Cheaper rail travel and a wider young persons railcard, Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study",,Youth services and safe places to go,Rent takes most of my wages and I still live with my parents.,"Crime, safety and policing",,3,2,4,9,5,5,5,2,5,4,3,6,10,5,7,8,6,6,7,8,5,6,8,5,9,6,7,6,10,7,9,9,6,5,7,5,"Equality, discrimination and racism",,Female,White,No,At university,No,Yes
17/09/2026 20:36:57,19 to 21,Yorkshire and the Humber,,Yes,"Arts, music and drama in the curriculum, and free or low-cost music tuition, Funded open-access youth clubs and youth workers in every area, Free school meals for more pupils, and holiday food provision",,Mental health and wellbeing,Rent takes most of my wages and I still live with my parents.,Education and curriculum for life,,7,0,8,2,7,8,7,4,7,5,8,5,9,7,4,9,8,6,10,10,9,10,9,8,9,6,10,7,9,7,3,3,9,4,2,3,"Housing and a place to live, Climate and the environment",Online harm is not a side issue. It is where we live most of our lives.,Female,Asian or Asian British,Yes,In school or college,No,Yes
19/09/2026 10:28:49,19 to 21,London,IG1,No,"Cheaper rail travel and a wider young persons railcard, Funded open-access youth clubs and youth workers in every area, Arts, music and drama in the curriculum, and free or low-cost music tuition",Proper funding for school counselling.,Mental health and wellbeing,Everything costs more and nothing about young people’s pay has changed.,"Equality, discrimination and racism",Online access decides who gets opportunities and it is very unequal.,3,3,3,6,2,6,1,4,0,6,1,7,10,10,10,10,10,6,8,10,8,6,7,6,7,8,2,8,7,8,6,4,4,7,4,6,"Education and curriculum for life, Equality, discrimination and racism",,Female,Mixed or multiple ethnic groups,No,Apprenticeship or training,No,Yes
19/09/2026 14:39:40,19 to 21,South East England,,No,"Funded open-access youth clubs and youth workers in every area, Guaranteed work experience placements for every pupil, Independent careers advice in every school (a Connexions style service)",Music lessons that are not only for people who can pay.,Mental health and wellbeing,Everything costs more and nothing about young people’s pay has changed.,"Crime, safety and policing",,2,4,9,3,1,5,5,4,1,7,6,5,8,10,8,10,7,9,7,6,10,9,7,7,10,7,4,10,10,10,6,10,8,6,2,8,"Education and curriculum for life, Climate and the environment",Racism is still shaping who gets opportunities in every country here. Say so out loud.,Female,White,Yes,In school or college,No,Yes
17/09/2026 09:09:54,16 to 18,North West England,WN1,Yes,"Funded open-access youth clubs and youth workers in every area, Local libraries and community spaces with longer opening hours, Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study",Music lessons that are not only for people who can pay.,Housing and a place to live,There is nowhere to go in the evening since the youth centre closed.,Climate and the environment,"Young people in some member states cannot finish school because of cost, not ability.",,5,,5,,,0,4,6,3,,,10,,,10,,,,,,,10,7,9,,,,,7,,,10,,5,,"Climate and the environment, Crime, safety and policing",Girls across the Commonwealth are still leaving education early. That should embarrass every leader in the room.,Male,White,No,At university,No,Yes
18/09/2026 19:14:53,13 to 15,London,,No,"Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, Free or capped bus travel for under-25s, Guaranteed work experience placements for every pupil",,"Jobs, apprenticeships and work experience",My school had one careers adviser for eight hundred students.,"Equality, discrimination and racism",,7,2,3,4,2,7,8,8,3,5,4,7,5,8,9,8,7,5,8,10,10,10,6,8,9,8,9,8,8,8,9,9,8,7,5,7,"Climate and the environment, Education and curriculum for life",,Male,White,No,In school or college,No,Yes
18/09/2026 12:17:10,22 to 25,Scotland,PH1,Yes,"Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, Community sports facilities, playing fields and free swimming, Funded open-access youth clubs and youth workers in every area",,Mental health and wellbeing,"Waiting lists where I live are over a year, and people get worse while they wait.","Crime, safety and policing",,3,5,4,4,4,6,3,3,7,1,5,8,10,9,6,6,9,8,8,8,6,6,9,9,10,9,8,8,7,8,8,7,6,5,4,7,"Cost of living and financial security, Digital life and online safety",Commonwealth mobility should mean something. Let young people study and work across member states without impossible visa costs.,Female,White,Yes,In school or college,No,Yes
19/09/2026 18:59:52,16 to 18,London,,No,"Free school meals for more pupils, and holiday food provision, Arts, music and drama in the curriculum, and free or low-cost music tuition, Free or capped bus travel for under-25s",Music lessons that are not only for people who can pay.,Mental health and wellbeing,Everything costs more and nothing about young people’s pay has changed.,"Equality, discrimination and racism",,4,4,2,2,1,4,4,6,9,6,3,6,10,9,10,10,10,5,10,7,9,7,6,10,10,5,6,6,8,10,9,8,6,3,4,8,"Transport and getting around, Climate and the environment",,Female,Asian or Asian British,No,In school or college,Prefer not to say,Yes
18/09/2026 09:02:30,16 to 18,Scotland,KA1,Yes,"A school nurse and a trained counsellor in every school, Free school meals for more pupils, and holiday food provision, Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study",Cheaper driving lessons and tests for young people in rural areas.,"Equality, discrimination and racism",,Democracy and youth voice,Youth unemployment across the Commonwealth is the common thread in all of this.,4,5,5,4,3,3,5,6,5,6,1,3,9,10,8,8,8,9,6,8,10,5,6,8,9,10,7,8,10,7,7,10,8,3,5,6,"Equality, discrimination and racism, Mental health and wellbeing",,Female,White,No,In school or college,No,Yes
19/09/2026 15:33:30,16 to 18,Scotland,EH8,Yes,"Sure Start style family and early years centres, Independent careers advice in every school (a Connexions style service), Guaranteed work experience placements for every pupil",,"Crime, safety and policing",,Climate and the environment,Young people are excluded from decisions in almost every member state.,2,3,5,5,4,4,2,2,5,3,6,7,10,9,6,10,10,7,8,10,6,10,4,9,6,8,6,10,10,6,8,6,8,9,7,10,"Cost of living and financial security, Equality, discrimination and racism",,Male,White,No,Working,No,Yes
18/09/2026 18:27:34,13 to 15,South East England,,No,"Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, Guaranteed work experience placements for every pupil",Cheaper driving lessons and tests for young people in rural areas.,"Crime, safety and policing",There is nowhere to go in the evening since the youth centre closed.,Climate and the environment,,2,3,6,6,4,5,2,7,2,2,6,7,10,6,10,8,8,4,4,4,9,10,9,6,5,7,4,6,8,8,8,5,7,3,7,7,"Equality, discrimination and racism, Jobs, apprenticeships and work experience",Listen to young people from small island states before it is too late to listen to them at all.,Prefer not to say,White,Yes,In school or college,No,Yes
18/09/2026 15:14:54,19 to 21,West Midlands,HR1,No,"Free or capped bus travel for under-25s, Funded open-access youth clubs and youth workers in every area",,Mental health and wellbeing,,"Jobs, apprenticeships and work experience",,4,6,7,3,4,4,1,4,6,5,0,5,9,7,10,8,7,4,10,10,10,10,6,10,10,3,6,9,10,10,6,5,7,3,9,4,"Digital life and online safety, Jobs, apprenticeships and work experience","Mental health support should not depend on which postcode you live in, or which country.",Male,White,No,In school or college,No,Yes
19/09/2026 18:33:24,22 to 25,West Midlands,TF1,No,"Funded open-access youth clubs and youth workers in every area, Arts, music and drama in the curriculum, and free or low-cost music tuition, Free school meals for more pupils, and holiday food provision",,Education and curriculum for life,,Climate and the environment,Girls are still being taken out of education early in too many countries.,4,2,4,5,2,2,1,5,3,2,1,5,9,5,6,8,7,7,10,6,9,10,6,7,7,8,9,10,8,5,10,10,7,7,5,8,"Education and curriculum for life, Mental health and wellbeing",,Female,Asian or Asian British,No,Working,Yes,Yes
20/09/2026 15:24:01,13 to 15,West Midlands,DY1,No,"Cheaper rail travel and a wider young persons railcard, Free or capped bus travel for under-25s, Restored further education and adult skills funding, and lower tuition fees",,Mental health and wellbeing,My school had one careers adviser for eight hundred students.,Climate and the environment,,2,4,6,5,4,3,3,6,2,1,4,6,10,6,6,6,8,9,8,8,9,9,4,8,8,6,5,7,10,10,6,7,7,6,6,7,"Climate and the environment, Equality, discrimination and racism",,Male,Asian or Asian British,No,Working,No,Yes
18/09/2026 13:12:38,19 to 21,South West England,TR1,No,"A school nurse and a trained counsellor in every school, Funded national youth voice structures (a British Youth Council style body), Funded open-access youth clubs and youth workers in every area",,Housing and a place to live,The support exists on paper but nobody can actually access it.,Mental health and wellbeing,,5,3,6,4,1,2,3,6,9,5,6,6,10,5,6,9,5,5,10,10,8,9,5,9,10,10,2,5,7,8,10,7,7,7,3,6,"Climate and the environment, Jobs, apprenticeships and work experience",,Female,White,No,In school or college,No,Yes
20/09/2026 19:37:07,16 to 18,East of England,,Yes,Funded national youth voice structures (a British Youth Council style body),,Mental health and wellbeing,People my age are scared on public transport and nobody talks about it.,Climate and the environment,,7,3,4,4,3,4,1,9,2,3,1,5,8,7,8,9,10,10,10,7,10,9,10,10,7,7,5,9,9,7,9,5,7,6,7,6,"Mental health and wellbeing, Democracy and youth voice",,Non-binary,White,No,In school or college,Prefer not to say,Yes
18/09/2026 10:06:06,19 to 21,West Midlands,TF1,No,Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study,Free swimming for under-18s.,Cost of living and financial security,,"Equality, discrimination and racism",Girls are still being taken out of education early in too many countries.,1,2,3,5,3,4,2,7,9,1,7,8,7,7,10,5,9,6,8,10,10,9,7,7,8,7,7,8,8,8,5,10,7,6,7,8,"Crime, safety and policing, Jobs, apprenticeships and work experience",,Female,White,No,In school or college,No,Yes
19/09/2026 19:40:40,13 to 15,West Midlands,B1,No,"Free school meals for more pupils, and holiday food provision, A school nurse and a trained counsellor in every school, Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study",,"Jobs, apprenticeships and work experience",Everyone I know is choosing between transport to college and lunch.,Climate and the environment,,,,,,,,1,6,,,,,,,10,,,,10,8,,,7,4,10,6,,,,,5,7,,,5,7,"Education and curriculum for life, Jobs, apprenticeships and work experience",,Female,White,Prefer not to say,In school or college,No,Yes
19/09/2026 10:53:42,22 to 25,North West England,WN1,Yes,"Guaranteed work experience placements for every pupil, A school nurse and a trained counsellor in every school, Free or capped bus travel for under-25s",,Mental health and wellbeing,,Education and curriculum for life,Young people are excluded from decisions in almost every member state.,4,2,4,3,0,4,5,2,4,8,0,3,9,8,10,6,7,4,10,9,6,9,5,7,9,6,7,7,7,6,8,6,8,7,5,7,"Education and curriculum for life, Climate and the environment",Every promise made about climate finance has a deadline that falls after you have all left office. Bring the deadlines forward.,Female,White,No,In school or college,No,Yes
18/09/2026 13:06:38,19 to 21,South East England,,No,"Free school meals for more pupils, and holiday food provision, Cheaper rail travel and a wider young persons railcard, Free or capped bus travel for under-25s",,"Equality, discrimination and racism",,"Jobs, apprenticeships and work experience","Young people in some member states cannot finish school because of cost, not ability.",3,0,3,3,5,5,1,3,5,4,5,5,8,6,6,5,9,8,10,6,8,9,6,5,6,8,4,7,8,10,5,7,8,5,4,8,"Education and curriculum for life, Mental health and wellbeing",,Male,White,Yes,At university,No,Yes
20/09/2026 13:05:38,22 to 25,Wales,CF10,No,"Free or capped bus travel for under-25s, Restored further education and adult skills funding, and lower tuition fees, Funded open-access youth clubs and youth workers in every area",,Digital life and online safety,,"Crime, safety and policing",,4,2,4,4,5,2,3,6,7,6,4,5,10,8,10,9,8,5,10,7,8,7,10,9,6,9,7,6,5,7,7,10,7,9,4,4,"Education and curriculum for life, Climate and the environment",We cannot build a future in countries we cannot afford to live in. Housing is the whole argument.,Female,Asian or Asian British,No,"Not in education, employment or training",No,Yes
20/09/2026 13:35:31,22 to 25,South East England,RG1,No,"A school nurse and a trained counsellor in every school, Free or capped bus travel for under-25s, Arts, music and drama in the curriculum, and free or low-cost music tuition",Music lessons that are not only for people who can pay.,Mental health and wellbeing,,Climate and the environment,Youth unemployment across the Commonwealth is the common thread in all of this.,3,3,9,6,1,3,0,4,4,4,3,8,6,10,10,8,7,6,10,10,5,2,9,8,6,6,10,6,10,7,3,5,9,5,3,7,"Climate and the environment, Equality, discrimination and racism",,Male,Asian or Asian British,No,In school or college,No,Yes
18/09/2026 14:50:29,13 to 15,East Midlands,,No,"Cheaper rail travel and a wider young persons railcard, Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, Free school meals for more pupils, and holiday food provision",Free swimming for under-18s.,"Crime, safety and policing","Waiting lists where I live are over a year, and people get worse while they wait.",Climate and the environment,There are not enough jobs for the number of graduates being produced.,1,6,5,2,0,2,0,2,3,7,5,3,10,6,8,6,8,6,9,10,8,8,6,9,6,7,9,7,10,7,9,9,9,10,5,6,"Education and curriculum for life, Digital life and online safety",,Female,"Black, Black British, Caribbean or African",No,Prefer not to say,No,Yes
20/09/2026 12:44:13,19 to 21,East Midlands,,Yes,"Local libraries and community spaces with longer opening hours, Arts, music and drama in the curriculum, and free or low-cost music tuition",,Cost of living and financial security,,Education and curriculum for life,,3,0,5,1,4,5,2,6,6,3,4,6,7,4,10,6,5,7,10,7,7,4,7,10,9,8,4,10,9,7,9,7,10,10,8,6,"Housing and a place to live, Education and curriculum for life",,Female,White,No,In school or college,No,Yes
